Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 Margaret Atwood,0.63,1.18,0.84,-1.01,-0.56,0.08,-0.13,-0.4,1.21,0.64,-0.59,-0.49,-0.36,-0.32
 Anton Chekhov,0.14,1.27,-1.36,1.06,0.15,0.79,-0.45,1.33,0.37,0.72,-0.22,0.56,0.1,1.22
 Agatha Christie,-0.04,0.9,0.76,-1.67,-0.14,-0.7,0.51,0.37,1.49,0.04,-0.48,-0.82,-0.4,0.12
 Junot Diaz,-0.32,-0.45,1.2,-0.3,-0.58,-0.7,0.51,-0.33,-1.96,-0.56,-0.49,-0.42,0.6,-0.54
 Neil Gaiman,0.46,0.76,0.18,-0.61,-0.65,-0.37,-0.77,-0.46,-0.84,-0.35,-0.78,0.34,-0.61,-0.1
 John Grisham,-1.24,-0.82,0.67,0.3,-0.5,0.1,0.83,-0.33,-0.19,-0.81,-0.66,-1.0,-1.69,-0.32
 Ernest Hemingway,0.23,0.71,1.07,-0.73,-1.63,-0.98,-2.36,-1.55,-0.74,-1.33,-1.53,0.27,-2.28,-1.65
 David Foster Wallace,0.84,-1.58,-0.61,0.83,2.54,2.55,1.47,2.03,-0.93,0.91,2.43,1.43,0.06,2.33
 Stephen King,0.06,-0.42,-0.37,-0.47,-0.36,-0.87,0.51,-0.59,1.21,-0.35,-0.36,-0.09,0.06,-0.32
 Jhumpa Lahiri,-1.02,-1.26,-1.1,-0.68,0.51,0.45,0.83,0.18,-0.28,0.42,0.45,-0.79,-0.15,0.78
 Ursula K Le Guin,-0.21,0.69,-1.26,0.49,1.37,1.77,0.51,1.52,1.12,2.03,1.52,-0.89,1.19,0.78
 Cormac McCarthy,-1.78,-1.79,-1.68,2.24,0.03,-0.39,-0.77,-0.72,0.37,-1.9,0.47,0.23,1.15,-0.77
 Toni Morrison,0.55,0.2,-0.17,0.14,-0.73,-0.87,-0.45,-1.23,-1.4,-0.56,-0.43,2.85,0.35,-1.43
 Danielle Steel,2.58,1.04,1.6,1.26,-0.62,-0.87,-1.4,-0.72,0.56,-0.29,-0.56,-0.46,1.73,-0.54
 J.K. Rowling,-0.89,-0.42,0.24,-0.86,1.17,0.0,1.15,0.88,0.0,1.4,1.22,-0.71,0.23,0.78
