Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 Margaret Atwood,5.38,3.34,2.02,3.11,4.3,1.06,0.49,0.3,0.74,1.19,10.56,0.87,1.59,1.3
 Anton Chekhov,4.96,3.38,0.58,5.04,5.59,1.44,0.48,0.57,0.65,1.22,11.82,1.16,1.7,1.37
 Agatha Christie,4.81,3.22,1.97,2.49,5.06,0.64,0.51,0.42,0.77,0.97,10.96,0.78,1.58,1.32
 Junot Diaz,4.58,2.64,2.26,3.77,4.26,0.64,0.51,0.31,0.4,0.75,10.92,0.89,1.82,1.29
 Neil Gaiman,5.23,3.16,1.59,3.48,4.12,0.82,0.47,0.29,0.52,0.83,9.94,1.1,1.53,1.31
 Ernest Hemingway,5.04,3.14,2.17,3.37,2.33,0.49,0.42,0.12,0.53,0.47,7.39,1.08,1.13,1.24
 David Foster Wallace,5.55,2.15,1.07,4.83,9.99,2.39,0.54,0.68,0.51,1.29,20.79,1.4,1.69,1.42
 Stephen King,4.9,2.65,1.23,3.61,4.66,0.55,0.51,0.27,0.74,0.83,11.36,0.98,1.69,1.3
 Jhumpa Lahiri,3.99,2.29,0.75,3.41,6.26,1.26,0.52,0.39,0.58,1.11,14.08,0.79,1.64,1.35
 Ursula K Le Guin,4.67,3.13,0.65,4.51,7.85,1.97,0.51,0.6,0.73,1.7,17.73,0.76,1.96,1.35
 Cormac McCarthy,3.35,2.06,0.37,6.15,5.38,0.81,0.47,0.25,0.65,0.26,14.16,1.07,1.95,1.28
 Toni Morrison,5.31,2.92,1.36,4.18,3.97,0.55,0.48,0.17,0.46,0.75,11.12,1.79,1.76,1.25
 Haruki Murakami,5.05,2.92,1.2,3.61,5.83,1.36,0.48,0.38,0.71,0.94,13.48,0.68,1.91,1.33
 J.K. Rowling,4.1,2.65,1.63,3.25,7.47,1.02,0.53,0.5,0.61,1.47,16.71,0.81,1.73,1.35
