Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 Margaret Atwood,1.02,1.21,1.13,-0.88,-0.65,-0.02,-0.14,-0.47,1.11,0.56,-0.7,-0.49,-0.5,-0.4
 Anton Chekhov,0.31,1.3,-1.28,1.24,0.05,0.67,-0.48,1.23,0.32,0.64,-0.33,0.52,0.04,1.11
 Agatha Christie,0.05,0.92,1.04,-1.57,-0.24,-0.79,0.53,0.28,1.38,-0.04,-0.58,-0.81,-0.55,0.03
 Junot Diaz,-0.34,-0.46,1.53,-0.16,-0.67,-0.79,0.53,-0.41,-1.9,-0.64,-0.59,-0.42,0.63,-0.62
 Neil Gaiman,0.77,0.78,0.41,-0.48,-0.74,-0.46,-0.82,-0.54,-0.83,-0.42,-0.88,0.31,-0.8,-0.19
 Ernest Hemingway,0.44,0.73,1.38,-0.6,-1.71,-1.06,-2.5,-1.61,-0.75,-1.39,-1.63,0.24,-2.77,-1.7
 David Foster Wallace,1.31,-1.62,-0.46,1.01,2.41,2.41,1.54,1.93,-0.92,0.83,2.31,1.36,-0.01,2.19
 Stephen King,0.2,-0.43,-0.2,-0.34,-0.45,-0.95,0.53,-0.66,1.11,-0.42,-0.46,-0.11,-0.01,-0.4
 Jhumpa Lahiri,-1.35,-1.29,-1.0,-0.55,0.41,0.34,0.87,0.09,-0.3,0.34,0.34,-0.77,-0.25,0.68
 Ursula K Le Guin,-0.19,0.71,-1.17,0.65,1.26,1.64,0.53,1.42,1.02,1.94,1.41,-0.88,1.32,0.68
 Cormac McCarthy,-2.44,-1.84,-1.64,2.46,-0.07,-0.48,-0.82,-0.79,0.32,-1.96,0.36,0.2,1.27,-0.83
 Toni Morrison,0.9,0.21,0.02,0.29,-0.83,-0.95,-0.48,-1.3,-1.37,-0.64,-0.53,2.72,0.34,-1.48
 Haruki Murakami,0.46,0.21,-0.25,-0.34,0.17,0.53,-0.48,0.03,0.85,-0.12,0.16,-1.16,1.08,0.25
 J.K. Rowling,-1.16,-0.43,0.48,-0.73,1.06,-0.09,1.2,0.79,-0.04,1.32,1.11,-0.7,0.19,0.68
