Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 writers for The Atlantic,4.07,2.81,1.0,3.98,11.11,3.61,0.53,1.21,0.69,1.57,20.58,0.76,1.92,1.54
 Dave Barry,4.51,3.19,1.26,3.09,9.28,1.79,0.54,0.51,0.56,1.73,19.35,0.85,2.0,1.42
 Ta-Nehisi Coates,3.78,3.33,0.59,3.83,10.53,3.82,0.53,1.24,0.96,1.48,19.69,0.83,1.92,1.52
 G.K. Chesterton,5.75,4.99,0.05,4.05,10.35,3.83,0.45,1.05,0.98,1.27,20.61,0.58,2.83,1.48
 Joan Didion,4.59,3.22,0.59,4.42,11.51,2.0,0.53,0.62,0.67,1.96,25.07,0.87,1.87,1.42
 Michel Foucault,4.06,4.0,0.28,4.26,17.55,7.13,0.44,2.7,1.33,3.39,35.06,0.83,2.15,1.62
 Martin Heidegger,5.85,4.47,0.03,3.37,12.44,7.19,0.38,3.09,1.61,1.16,19.46,0.69,2.34,1.68
 bell hooks,4.71,3.78,0.27,3.55,13.43,5.66,0.47,1.91,1.13,1.41,24.51,0.63,2.39,1.61
 Chuck Klosterman,5.5,3.89,1.3,3.34,10.87,2.54,0.55,0.91,0.64,1.42,20.75,0.73,2.09,1.51
 George Orwell,5.43,4.57,0.52,4.2,10.86,3.4,0.52,0.85,1.12,1.59,21.33,0.67,2.19,1.49
 Marilynne Robinson,4.59,4.52,0.1,4.36,12.08,5.64,0.51,1.89,1.27,1.58,22.9,0.7,2.29,1.55
 Antonin Scalia,4.06,3.22,0.08,3.27,14.71,6.65,0.48,2.87,1.1,1.67,26.52,0.87,2.13,1.67
 Zadie Smith,4.32,3.55,0.73,3.42,9.31,3.39,0.54,1.04,0.63,1.51,18.26,1.0,1.72,1.48
 strong undergraduate writers,4.89,3.77,0.15,4.36,12.96,5.24,0.47,1.7,0.96,1.49,24.9,0.56,2.27,1.56
 poor undergraduate writers,4.03,4.29,0.33,4.2,11.63,4.5,0.45,1.23,1.13,0.98,21.75,0.52,2.28,1.55
 David Foster Wallace,5.28,3.2,0.78,5.11,13.89,3.58,0.56,0.99,0.52,1.86,28.23,1.07,2.01,1.51
Susan Sontag,4.06,4.09,0.21,4.08,12.78,5.99,0.51,1.77,0.99,2.17,22.58,0.71,1.7,1.62
