Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 writers for The Atlantic,-0.94,-1.69,1.29,0.09,-0.48,-0.52,0.69,-0.39,-0.91,-0.18,-0.61,0.02,-0.76,-0.04
 Dave Barry,-0.26,-1.05,1.94,-1.64,-1.39,-1.62,0.9,-1.32,-1.35,0.13,-0.91,0.64,-0.46,-1.64
 Ta-Nehisi Coates,-1.39,-0.82,0.26,-0.2,-0.77,-0.39,0.69,-0.35,0.01,-0.35,-0.83,0.5,-0.76,-0.31
 G.K. Chesterton,1.66,1.97,-1.09,0.22,-0.86,-0.39,-1.01,-0.6,0.07,-0.76,-0.6,-1.21,2.64,-0.84
 Joan Didion,-0.13,-1.0,0.26,0.94,-0.28,-1.49,0.69,-1.17,-0.98,0.58,0.51,0.77,-0.95,-1.64
 Michel Foucault,-0.95,0.31,-0.52,0.63,2.72,1.61,-1.22,1.58,1.26,3.37,2.99,0.5,0.1,1.03
 Martin Heidegger,1.82,1.1,-1.14,-1.1,0.18,1.64,-2.5,2.1,2.21,-0.98,-0.89,-0.46,0.81,1.83
 bell hooks,0.05,-0.06,-0.54,-0.75,0.67,0.72,-0.59,0.54,0.58,-0.49,0.37,-0.87,1.0,0.9
 Chuck Klosterman,1.28,0.12,2.04,-1.15,-0.6,-1.16,1.11,-0.79,-1.08,-0.47,-0.57,-0.19,-0.13,-0.44
 George Orwell,1.17,1.27,0.08,0.51,-0.61,-0.65,0.47,-0.87,0.55,-0.14,-0.42,-0.6,0.25,-0.71
 Marilynne Robinson,-0.13,1.18,-0.97,0.83,0.0,0.71,0.26,0.51,1.06,-0.16,-0.03,-0.39,0.62,0.09
 Antonin Scalia,-0.95,-1.0,-1.02,-1.29,1.31,1.32,-0.37,1.81,0.48,0.02,0.87,0.77,0.02,1.7
 Zadie Smith,-0.55,-0.45,0.61,-1.0,-1.38,-0.65,0.9,-0.62,-1.11,-0.29,-1.18,1.66,-1.51,-0.84
 strong undergraduate writers,0.33,-0.08,-0.84,0.83,0.44,0.47,-0.59,0.26,0.01,-0.33,0.46,-1.35,0.55,0.23
 poor undergraduate writers,-1.0,0.8,-0.39,0.51,-0.22,0.02,-1.01,-0.36,0.58,-1.33,-0.32,-1.62,0.59,0.09
 David Foster Wallace,0.94,-1.04,0.74,2.28,0.9,-0.54,1.32,-0.68,-1.48,0.39,1.29,2.14,-0.42,-0.44
Susan Sontag,-0.95,0.46,-0.69,0.28,0.35,0.92,0.26,0.35,0.11,0.99,-0.11,-0.32,-1.58,1.03
