Author,adverbs,to Be verbs,contractions,coordination,fkLevel,latinate roots,lexicalDiversity,nominalizations,passivity,punctuation density,sentence length,sent length variance,subordination,syllable avg
 writers for The Atlantic,4.07,2.81,1.0,3.98,11.11,3.61,0.53,1.21,0.69,7.15,20.58,0.76,1.92,1.54
 Ta-Nehisi Coates,3.78,3.33,0.59,3.83,10.53,3.82,0.53,1.24,0.96,7.04,19.69,0.83,1.92,1.52
 G.K. Chesterton,5.75,4.99,0.05,4.05,10.35,3.83,0.45,1.05,0.98,5.86,20.61,0.58,2.83,1.48
 David Foster Wallace,5.28,3.2,0.78,5.11,13.89,3.58,0.56,0.99,0.52,6.19,28.23,1.07,2.01,1.51
 Joan Didion,4.59,3.22,0.59,4.42,11.51,2.0,0.53,0.62,0.67,7.34,25.07,0.87,1.87,1.42
 Joan Didion,4.18,3.01,0.31,4.21,12.02,3.17,0.52,0.89,0.8,6.42,24.81,0.87,1.88,1.47
 bell hooks,4.71,3.78,0.27,3.55,13.43,5.66,0.47,1.91,1.13,5.5,24.51,0.63,2.39,1.61
 Chuck Klosterman,5.5,3.89,1.3,3.34,10.87,2.54,0.55,0.91,0.64,6.43,20.75,0.73,2.09,1.51
 George Orwell,5.43,4.57,0.52,4.2,10.86,3.4,0.52,0.85,1.12,7.03,21.33,0.67,2.19,1.49
 Marilynne Robinson,4.59,4.52,0.1,4.36,12.08,5.64,0.51,1.89,1.27,6.61,22.9,0.7,2.29,1.55
 Antonin Scalia,4.06,3.22,0.08,3.27,14.71,6.65,0.48,2.87,1.1,6.19,26.52,0.87,2.13,1.67
 Zadie Smith,4.32,3.55,0.73,3.42,9.31,3.39,0.54,1.04,0.63,7.96,18.26,1.0,1.72,1.48
 Susan Sontag,4.06,4.09,0.21,4.08,12.78,5.99,0.51,1.77,0.99,9.14,22.58,0.71,1.7,1.62
 strong undergraduate writers,4.89,3.77,0.15,4.36,12.96,5.24,0.47,1.7,0.96,5.71,24.9,0.56,2.27,1.56
